3.02	2.083	0.024
3.05	2.526	0.025
3.1	2.783	0.015
3.2	3.097	0.011
3.3	3.254	0.019
3.4	3.354	0.016
3.5	3.411	0.017
3.7	3.451	0.013
3.9	3.453	0.014
4.	3.445	0.013
